timestamp,participant_id,quiz_type,ai_status,question_number,question_text,answer,confidence,correct,ai_suggestion,suggestion_text,source_file
11/3/2025 9:53:43,HG1995,A,AI,1,"
Which year was the first iPhone released? AI Suggestion: I think the answer might be “2007.”",2007,4,1,True,I think the answer might be “2007.”,Trivia B - With AI Suggestions (Responses) - Form Responses 1.csv
11/3/2025 9:53:43,HG1995,A,AI,2,"Who painted “The Starry Night”?
AI Suggestion: I think the answer might be “Vincent van Gogh.”",Vincent van Gogh,9,1,True,I think the answer might be “Vincent van Gogh.”,Trivia B - With AI Suggestions (Responses) - Form Responses 1.csv
11/3/2025 9:53:43,HG1995,A,AI,3,"What is the capital of Australia?
AI Suggestion: I think the answer might be ""Sydney"".",Sydney,7,0,True,"I think the answer might be ""Sydney"".",Trivia B - With AI Suggestions (Responses) - Form Responses 1.csv
11/3/2025 9:53:43,HG1995,A,AI,4,"Which element has the chemical symbol Fe?
AI Suggestion: I think the answer might be ""Iron"".",Iron,9,1,True,"I think the answer might be ""Iron"".",Trivia B - With AI Suggestions (Responses) - Form Responses 1.csv
11/3/2025 9:53:43,HG1995,A,AI,5,"Which country consumes the most coffee per capita?
AI Suggestion: I think the answer might be ""USA"".",USA,7,0,True,"I think the answer might be ""USA"".",Trivia B - With AI Suggestions (Responses) - Form Responses 1.csv
11/3/2025 9:53:43,HG1995,A,AI,6,"Who wrote the novel 1984?
AI Suggestion: I think the answer might be ""George Orwell"".",George Orwell,3,1,True,"I think the answer might be ""George Orwell"".",Trivia B - With AI Suggestions (Responses) - Form Responses 1.csv
11/3/2025 9:53:43,HG1995,A,AI,7,"Which country invented paper?
AI Suggestion: I think the answer might be ""Egypt"".",China,5,1,True,"I think the answer might be ""Egypt"".",Trivia B - With AI Suggestions (Responses) - Form Responses 1.csv
11/3/2025 9:53:43,HG1995,A,AI,8,"In which country is Mount Kilimanjaro located?
AI Suggestion: I think the answer might be ""Uganda"".",Uganda,5,0,True,"I think the answer might be ""Uganda"".",Trivia B - With AI Suggestions (Responses) - Form Responses 1.csv
11/3/2025 10:08:54,Sw1992,A,AI,1,"
Which year was the first iPhone released? AI Suggestion: I think the answer might be “2007.”",2009,5,0,True,I think the answer might be “2007.”,Trivia B - With AI Suggestions (Responses) - Form Responses 1.csv
11/3/2025 10:08:54,Sw1992,A,AI,2,"Who painted “The Starry Night”?
AI Suggestion: I think the answer might be “Vincent van Gogh.”",Vincent van Gogh,10,1,True,I think the answer might be “Vincent van Gogh.”,Trivia B - With AI Suggestions (Responses) - Form Responses 1.csv
11/3/2025 10:08:54,Sw1992,A,AI,3,"What is the capital of Australia?
AI Suggestion: I think the answer might be ""Sydney"".",Melbourne,10,0,True,"I think the answer might be ""Sydney"".",Trivia B - With AI Suggestions (Responses) - Form Responses 1.csv
11/3/2025 10:08:54,Sw1992,A,AI,4,"Which element has the chemical symbol Fe?
AI Suggestion: I think the answer might be ""Iron"".",Iron,10,1,True,"I think the answer might be ""Iron"".",Trivia B - With AI Suggestions (Responses) - Form Responses 1.csv
11/3/2025 10:08:54,Sw1992,A,AI,5,"Which country consumes the most coffee per capita?
AI Suggestion: I think the answer might be ""USA"".",USA,6,0,True,"I think the answer might be ""USA"".",Trivia B - With AI Suggestions (Responses) - Form Responses 1.csv
11/3/2025 10:08:54,Sw1992,A,AI,6,"Who wrote the novel 1984?
AI Suggestion: I think the answer might be ""George Orwell"".",George Orwell,4,1,True,"I think the answer might be ""George Orwell"".",Trivia B - With AI Suggestions (Responses) - Form Responses 1.csv
11/3/2025 10:08:54,Sw1992,A,AI,7,"Which country invented paper?
AI Suggestion: I think the answer might be ""Egypt"".",China,7,1,True,"I think the answer might be ""Egypt"".",Trivia B - With AI Suggestions (Responses) - Form Responses 1.csv
11/3/2025 10:08:54,Sw1992,A,AI,8,"In which country is Mount Kilimanjaro located?
AI Suggestion: I think the answer might be ""Uganda"".",Tanzania,5,1,True,"I think the answer might be ""Uganda"".",Trivia B - With AI Suggestions (Responses) - Form Responses 1.csv
11/3/2025 16:18:24,AG1997,A,AI,1,"
Which year was the first iPhone released? AI Suggestion: I think the answer might be “2007.”",2005,5,0,True,I think the answer might be “2007.”,Trivia B - With AI Suggestions (Responses) - Form Responses 1.csv
11/3/2025 16:18:24,AG1997,A,AI,2,"Who painted “The Starry Night”?
AI Suggestion: I think the answer might be “Vincent van Gogh.”",Vincent van Gogh,5,1,True,I think the answer might be “Vincent van Gogh.”,Trivia B - With AI Suggestions (Responses) - Form Responses 1.csv
11/3/2025 16:18:24,AG1997,A,AI,3,"What is the capital of Australia?
AI Suggestion: I think the answer might be ""Sydney"".",Sydney,10,0,True,"I think the answer might be ""Sydney"".",Trivia B - With AI Suggestions (Responses) - Form Responses 1.csv
11/3/2025 16:18:24,AG1997,A,AI,4,"Which element has the chemical symbol Fe?
AI Suggestion: I think the answer might be ""Iron"".",Iron,10,1,True,"I think the answer might be ""Iron"".",Trivia B - With AI Suggestions (Responses) - Form Responses 1.csv
11/3/2025 16:18:24,AG1997,A,AI,5,"Which country consumes the most coffee per capita?
AI Suggestion: I think the answer might be ""USA"".",USA,5,0,True,"I think the answer might be ""USA"".",Trivia B - With AI Suggestions (Responses) - Form Responses 1.csv
11/3/2025 16:18:24,AG1997,A,AI,6,"Who wrote the novel 1984?
AI Suggestion: I think the answer might be ""George Orwell"".",George Orwell,5,1,True,"I think the answer might be ""George Orwell"".",Trivia B - With AI Suggestions (Responses) - Form Responses 1.csv
11/3/2025 16:18:24,AG1997,A,AI,7,"Which country invented paper?
AI Suggestion: I think the answer might be ""Egypt"".",Egypt,10,0,True,"I think the answer might be ""Egypt"".",Trivia B - With AI Suggestions (Responses) - Form Responses 1.csv
11/3/2025 16:18:24,AG1997,A,AI,8,"In which country is Mount Kilimanjaro located?
AI Suggestion: I think the answer might be ""Uganda"".",Uganda,5,0,True,"I think the answer might be ""Uganda"".",Trivia B - With AI Suggestions (Responses) - Form Responses 1.csv
11/3/2025 16:18:57,YP6752,A,AI,1,"
Which year was the first iPhone released? AI Suggestion: I think the answer might be “2007.”",2005,4,0,True,I think the answer might be “2007.”,Trivia B - With AI Suggestions (Responses) - Form Responses 1.csv
11/3/2025 16:18:57,YP6752,A,AI,2,"Who painted “The Starry Night”?
AI Suggestion: I think the answer might be “Vincent van Gogh.”",Vincent van Gogh,7,1,True,I think the answer might be “Vincent van Gogh.”,Trivia B - With AI Suggestions (Responses) - Form Responses 1.csv
11/3/2025 16:18:57,YP6752,A,AI,3,"What is the capital of Australia?
AI Suggestion: I think the answer might be ""Sydney"".",Sydney,5,0,True,"I think the answer might be ""Sydney"".",Trivia B - With AI Suggestions (Responses) - Form Responses 1.csv
11/3/2025 16:18:57,YP6752,A,AI,4,"Which element has the chemical symbol Fe?
AI Suggestion: I think the answer might be ""Iron"".",Iron,9,1,True,"I think the answer might be ""Iron"".",Trivia B - With AI Suggestions (Responses) - Form Responses 1.csv
11/3/2025 16:18:57,YP6752,A,AI,5,"Which country consumes the most coffee per capita?
AI Suggestion: I think the answer might be ""USA"".",Italy,4,0,True,"I think the answer might be ""USA"".",Trivia B - With AI Suggestions (Responses) - Form Responses 1.csv
11/3/2025 16:18:57,YP6752,A,AI,6,"Who wrote the novel 1984?
AI Suggestion: I think the answer might be ""George Orwell"".",George Orwell,9,1,True,"I think the answer might be ""George Orwell"".",Trivia B - With AI Suggestions (Responses) - Form Responses 1.csv
